source_stop,destination_stop,fare
Attiguppe,Baiyappanahalli,40
Attiguppe,Banashankari,38
Attiguppe,Chickpete,22
Attiguppe,Cubbon Park (Sri Chamarajendra Park),28
Attiguppe,Dasarahalli,45
Attiguppe,Deepanjali Nagara,10
Attiguppe,Doddakallasandra,45
Attiguppe,"Dr BR Ambedkar Station, Vidhana Soudha",25
Attiguppe,Goraguntepalya,38
Attiguppe,Halasuru,35
Attiguppe,Indiranagar,35
Attiguppe,Jalahalli,45
Attiguppe,Jaya Prakash Nagar,40
Attiguppe,Jayanagar,35
Attiguppe,Jnanabharathi,20
Attiguppe,Kengeri,28
Attiguppe,Kengeri Bus Terminal,25
Attiguppe,Konankunte Cross,45
Attiguppe,City Railway Station,18
Attiguppe,Krishna Rajendra Market,25
Attiguppe,Lalbagh Botanical Garden,30
Attiguppe,Magadi Road,15
Attiguppe,Mahakavi Kuvempu Road,28
Attiguppe,Mahalakshmi,30
Attiguppe,MG Road,30
Attiguppe,Mysuru Road,15
Attiguppe,Majestic,20
Attiguppe,Nagasandra,50
Attiguppe,National College,28
Attiguppe,Nayandahalli,15
Attiguppe,Nayandahalli,15
Attiguppe,Peenya,40
Attiguppe,Peenya Industry,42
Attiguppe,Rajaji Nagar,30
Attiguppe,Rajarajeshwari Nagara,18
Attiguppe,Rashtreeya Vidyalaya Road,35
Attiguppe,Sampige Road,22
Attiguppe,Sandal Soap Factory,35
Attiguppe,Silk Institute,52
Attiguppe,Central College,22
Attiguppe,South End Circle,30
Attiguppe,Hosahalli,15
Attiguppe,Srirampura,25
Attiguppe,Swami Vivekananda Road,38
Attiguppe,Talaghattapura,50
Attiguppe,Trinity,30
Attiguppe,Vajarahalli,50
Attiguppe,Vijayanagara,10
Attiguppe,Yelachenahalli,42
Attiguppe,Yeshwanthpur,35
Baiyappanahalli,Attiguppe,40
Baiyappanahalli,Banashankari,45
Baiyappanahalli,Chickpete,30
Baiyappanahalli,Cubbon Park (Sri Chamarajendra Park),22
Baiyappanahalli,Dasarahalli,55
Baiyappanahalli,Deepanjali Nagara,42
Baiyappanahalli,Doddakallasandra,55
Baiyappanahalli,"Dr BR Ambedkar Station, Vidhana Soudha",25
Baiyappanahalli,Goraguntepalya,45
Baiyappanahalli,Halasuru,15
Baiyappanahalli,Indiranagar,15
Baiyappanahalli,Jalahalli,52
Baiyappanahalli,Jaya Prakash Nagar,50
Baiyappanahalli,Jayanagar,42
Baiyappanahalli,Jnanabharathi,50
Baiyappanahalli,Kengeri,58
Baiyappanahalli,Kengeri Bus Terminal,55
Baiyappanahalli,Konankunte Cross,52
Baiyappanahalli,City Railway Station,30
Baiyappanahalli,Krishna Rajendra Market,35
Baiyappanahalli,Lalbagh Botanical Garden,38
Baiyappanahalli,Magadi Road,35
Baiyappanahalli,Mahakavi Kuvempu Road,35
Baiyappanahalli,Mahalakshmi,40
Baiyappanahalli,MG Road,20
Baiyappanahalli,Mysuru Road,45
Baiyappanahalli,Majestic,30
Baiyappanahalli,Nagasandra,58
Baiyappanahalli,National College,35
Baiyappanahalli,Nayandahalli,45
Baiyappanahalli,Pattanagere,52
Baiyappanahalli,Peenya,50
Baiyappanahalli,Peenya Industry,50
Baiyappanahalli,Rajaji Nagar,38
Baiyappanahalli,Rajarajeshwari Nagara,50
Baiyappanahalli,Rashtreeya Vidyalaya Road,45
Baiyappanahalli,Sampige Road,30
Baiyappanahalli,Sandal Soap Factory,42
Baiyappanahalli,Silk Institute,60
Baiyappanahalli,Central College,28
Baiyappanahalli,Kengeri,58
Baiyappanahalli,Hosahalli,35
Baiyappanahalli,Srirampura,35
Baiyappanahalli,Swami Vivekananda Road,10
Baiyappanahalli,Talaghattapura,60
Baiyappanahalli,Trinity,18
Baiyappanahalli,Vajarahalli,58
Baiyappanahalli,Vijayanagara,38
Baiyappanahalli,Yelachenahalli,50
Baiyappanahalli,Yeshwanthpur,45
Banashankari,Attiguppe,38
Banashankari,Baiyappanahalli,45
Banashankari,Chickpete,25
Banashankari,Cubbon Park (Sri Chamarajendra Park),35
Banashankari,Dasarahalli,52
Banashankari,Deepanjali Nagara,40
Banashankari,Doddakallasandra,18
Banashankari,"Dr BR Ambedkar Station, Vidhana Soudha",30
Banashankari,Goraguntepalya,45
Banashankari,Halasuru,40
Banashankari,Indiranagar,42
Banashankari,Jalahalli,50
Banashankari,Jaya Prakash Nagar,10
Banashankari,Jayanagar,15
Banashankari,Jnanabharathi,50
Banashankari,Kengeri,55
Banashankari,Kengeri Bus Terminal,52
Banashankari,Konankunte Cross,15
Banashankari,City Railway Station,30
Banashankari,Krishna Rajendra Market,22
Banashankari,Lalbagh Botanical Garden,18
Banashankari,Magadi Road,30
Banashankari,Mahakavi Kuvempu Road,35
Banashankari,Mahalakshmi,38
Banashankari,MG Road,35
Banashankari,Mysuru Road,42
Banashankari,Majestic,28
Banashankari,Nagasandra,55
Banashankari,National College,20
Banashankari,Nayandahalli,45
Banashankari,Pattanagere,50
Banashankari,Peenya,45
Banashankari,Peenya Industry,50
Banashankari,Rajaji Nagar,35
Banashankari,Rajarajeshwari Nagara,45
Banashankari,Rashtreeya Vidyalaya Road,10
Banashankari,Sampige Road,30
Banashankari,Sandal Soap Factory,40
Banashankari,Silk Institute,25
Banashankari,Central College,30
Banashankari,South End Circle,15
Banashankari,Hosahalli,35
Banashankari,Srirampura,30
Banashankari,Swami Vivekananda Road,45
Banashankari,Talaghattapura,22
Banashankari,Trinity,38
Banashankari,Vajarahalli,20
Banashankari,Vijayanagara,35
Banashankari,Yelachenahalli,15
Banashankari,Yeshwanthpur,42
Chickpete,Attiguppe,22
Chickpete,Baiyappanahalli,30
Chickpete,Banashankari,25
Chickpete,Cubbon Park (Sri Chamarajendra Park),18
Chickpete,Dasarahalli,38
Chickpete,Deepanjali Nagara,25
Chickpete,Doddakallasandra,35
Chickpete,"Dr BR Ambedkar Station, Vidhana Soudha",15
Chickpete,Goraguntepalya,30
Chickpete,Halasuru,25
Chickpete,Indiranagar,28
Chickpete,Jalahalli,35
Chickpete,Jaya Prakash Nagar,28
Chickpete,Jayanagar,20
Chickpete,Jnanabharathi,35
Chickpete,Kengeri,40
Chickpete,Kengeri Bus Terminal,38
Chickpete,Konankunte Cross,20
Chickpete,City Railway Station,15
Chickpete,Krishna Rajendra Market,10
Chickpete,Lalbagh Botanical Garden,15
Chickpete,Magadi Road,15
Chickpete,Mahakavi Kuvempu Road,18
Chickpete,Mahalakshmi,22
Chickpete,MG Road,20
Chickpete,Mysuru Road,28
Chickpete,Majestic,10
Chickpete,Nagasandra,40
Chickpete,National College,15
Chickpete,Nayandahalli,30
Chickpete,Pattanagere,35
Chickpete,Peenya,30
Chickpete,Peenya Industry,35
Chickpete,Rajaji Nagar,20
Chickpete,Rajarajeshwari Nagara,30
Chickpete,Rashtreeya Vidyalaya Road,22
Chickpete,Sampige Road,15
Chickpete,Sandal Soap Factory,25
Chickpete,Silk Institute,40
Chickpete,Central College,15
Chickpete,South End Circle,18
Chickpete,Hosahalli,18
Chickpete,Srirampura,15
Chickpete,Swami Vivekananda Road,30
Chickpete,Talaghattapura,38
Chickpete,Trinity,22
Chickpete,Vajarahalli,35
Chickpete,Vijayanagara,20
Chickpete,Yelachenahalli,30
Chickpete,Yeshwanthpur,28
Cubbon Park (Sri Chamarajendra Park),Attiguppe,28
Cubbon Park (Sri Chamarajendra Park),Baiyappanahalli,22
Cubbon Park (Sri Chamarajendra Park),Banashankari,35
Cubbon Park (Sri Chamarajendra Park),Chickpete,18
Cubbon Park (Sri Chamarajendra Park),Dasarahalli,42
Cubbon Park (Sri Chamarajendra Park),Deepanjali Nagara,30
Cubbon Park (Sri Chamarajendra Park),Doddakallasandra,42
Cubbon Park (Sri Chamarajendra Park),"Dr BR Ambedkar Station, Vidhana Soudha",10
Cubbon Park (Sri Chamarajendra Park),Goraguntepalya,35
Cubbon Park (Sri Chamarajendra Park),Halasuru,15
Cubbon Park (Sri Chamarajendra Park),Indiranagar,18
Cubbon Park (Sri Chamarajendra Park),Jalahalli,40
Cubbon Park (Sri Chamarajendra Park),Jaya Prakash Nagar,35
Cubbon Park (Sri Chamarajendra Park),Jayanagar,30
Cubbon Park (Sri Chamarajendra Park),Jnanabharathi,38
Cubbon Park (Sri Chamarajendra Park),Kengeri,45
Cubbon Park (Sri Chamarajendra Park),Kengeri Bus Terminal,42
Cubbon Park (Sri Chamarajendra Park),Konankunte Cross,40
Cubbon Park (Sri Chamarajendra Park),City Railway Station,18
Cubbon Park (Sri Chamarajendra Park),Krishna Rajendra Market,20
Cubbon Park (Sri Chamarajendra Park),Lalbagh Botanical Garden,25
Cubbon Park (Sri Chamarajendra Park),Magadi Road,20
Cubbon Park (Sri Chamarajendra Park),Mahakavi Kuvempu Road,22
Cubbon Park (Sri Chamarajendra Park),Mahalakshmi,28
Cubbon Park (Sri Chamarajendra Park),MG Road,10
Cubbon Park (Sri Chamarajendra Park),Mysuru Road,30
Cubbon Park (Sri Chamarajendra Park),Majestic,15
Cubbon Park (Sri Chamarajendra Park),Nagasandra,45
Cubbon Park (Sri Chamarajendra Park),National College,22
Cubbon Park (Sri Chamarajendra Park),Nayandahalli,35
Cubbon Park (Sri Chamarajendra Park),Pattanagere,40
Cubbon Park (Sri Chamarajendra Park),Peenya,35
Cubbon Park (Sri Chamarajendra Park),Peenya Industry,38
Cubbon Park (Sri Chamarajendra Park),Rajaji Nagar,25
Cubbon Park (Sri Chamarajendra Park),Rajarajeshwari Nagara,35
Cubbon Park (Sri Chamarajendra Park),Rashtreeya Vidyalaya Road,30
Cubbon Park (Sri Chamarajendra Park),Sampige Road,18
Cubbon Park (Sri Chamarajendra Park),Sandal Soap Factory,30
Cubbon Park (Sri Chamarajendra Park),Silk Institute,50
Cubbon Park (Sri Chamarajendra Park),Central College,15
Cubbon Park (Sri Chamarajendra Park),South End Circle,28
Cubbon Park (Sri Chamarajendra Park),Hosahalli,22
Cubbon Park (Sri Chamarajendra Park),Srirampura,20
Cubbon Park (Sri Chamarajendra Park),Swami Vivekananda Road,20
Cubbon Park (Sri Chamarajendra Park),Talaghattapura,45
Cubbon Park (Sri Chamarajendra Park),Trinity,15
Cubbon Park (Sri Chamarajendra Park),Vajarahalli,45
Cubbon Park (Sri Chamarajendra Park),Vijayanagara,25
Cubbon Park (Sri Chamarajendra Park),Yelachenahalli,38
Cubbon Park (Sri Chamarajendra Park),Yeshwanthpur,30
Dasarahalli,Attiguppe,45
Dasarahalli,Baiyappanahalli,55
Dasarahalli,Banashankari,52
Dasarahalli,Chickpete,38
Dasarahalli,Cubbon Park (Sri Chamarajendra Park),42
Dasarahalli,Deepanjali Nagara,50
Dasarahalli,Doddakallasandra,60
Dasarahalli,"Dr BR Ambedkar Station, Vidhana Soudha",40
Dasarahalli,Goraguntepalya,18
Dasarahalli,Halasuru,50
Dasarahalli,Indiranagar,50
Dasarahalli,Jalahalli,10
Dasarahalli,Jaya Prakash Nagar,55
Dasarahalli,Jayanagar,50
Dasarahalli,Jnanabharathi,58
Dasarahalli,Kengeri,60
Dasarahalli,Kengeri Bus Terminal,60
Dasarahalli,Konankunte Cross,60
Dasarahalli,City Railway Station,38
Dasarahalli,Krishna Rajendra Market,40
Dasarahalli,Lalbagh Botanical Garden,45
Dasarahalli,Magadi Road,40
Dasarahalli,Mahakavi Kuvempu Road,30
Dasarahalli,Mahalakshmi,25
Dasarahalli,MG Road,45
Dasarahalli,Mysuru Road,50
Dasarahalli,Majestic,35
Dasarahalli,Nagasandra,10
Dasarahalli,National College,42
Dasarahalli,Nayandahalli,52
Dasarahalli,Pattanagere,60
Dasarahalli,Peenya,15
Dasarahalli,Peenya Industry,15
Dasarahalli,Rajaji Nagar,28
Dasarahalli,Rajarajeshwari Nagara,55
Dasarahalli,Rashtreeya Vidyalaya Road,50
Dasarahalli,Sampige Road,35
Dasarahalli,Sandal Soap Factory,22
Dasarahalli,Silk Institute,60
Dasarahalli,Central College,38
Dasarahalli,South End Circle,45
Dasarahalli,Hosahalli,42
Dasarahalli,Srirampura,30
Dasarahalli,Swami Vivekananda Road,52
Dasarahalli,Talaghattapura,60
Dasarahalli,Trinity,45
Dasarahalli,Vajarahalli,60
Dasarahalli,Vijayanagara,45
Dasarahalli,Yelachenahalli,58
Dasarahalli,Yeshwanthpur,20
Deepanjali Nagara,Attiguppe,10
Deepanjali Nagara,Baiyappanahalli,42
Deepanjali Nagara,Banashankari,40
Deepanjali Nagara,Chickpete,25
Deepanjali Nagara,Cubbon Park (Sri Chamarajendra Park),30
Deepanjali Nagara,Dasarahalli,50
Deepanjali Nagara,Doddakallasandra,50
Deepanjali Nagara,"Dr BR Ambedkar Station, Vidhana Soudha",28
Deepanjali Nagara,Goraguntepalya,40
Deepanjali Nagara,Halasuru,35
Deepanjali Nagara,Indiranagar,38
Deepanjali Nagara,Jalahalli,45
Deepanjali Nagara,Cubbon Park (Sri Chamarajendra Park),30
Deepanjali Nagara,Jayanagar,35
Deepanjali Nagara,Jnanabharathi,18
Deepanjali Nagara,Kengeri,25
Deepanjali Nagara,Kengeri Bus Terminal,22
Deepanjali Nagara,Konankunte Cross,45
Deepanjali Nagara,City Railway Station,22
Deepanjali Nagara,Krishna Rajendra Market,28
Deepanjali Nagara,Lalbagh Botanical Garden,30
Deepanjali Nagara,Magadi Road,18
Deepanjali Nagara,Mahakavi Kuvempu Road,30
Deepanjali Nagara,Mahalakshmi,35
Deepanjali Nagara,MG Road,30
Deepanjali Nagara,Mysuru Road,10
Deepanjali Nagara,Majestic,22
Deepanjali Nagara,Nagasandra,50
Deepanjali Nagara,National College,30
Deepanjali Nagara,Nayandahalli,15
Deepanjali Nagara,Pattanagere,20
Deepanjali Nagara,Peenya,42
Deepanjali Nagara,Peenya Industry,45
Deepanjali Nagara,Rajaji Nagar,30
Deepanjali Nagara,Rajarajeshwari Nagara,15
Deepanjali Nagara,Rashtreeya Vidyalaya Road,38
Deepanjali Nagara,Sampige Road,25
Deepanjali Nagara,Sandal Soap Factory,35
Deepanjali Nagara,Silk Institute,55
Deepanjali Nagara,Central College,25
Deepanjali Nagara,South End Circle,35
Deepanjali Nagara,Hosahalli,15
Deepanjali Nagara,Srirampura,28
Deepanjali Nagara,Swami Vivekananda Road,40
Deepanjali Nagara,Talaghattapura,52
Deepanjali Nagara,Trinity,35
Deepanjali Nagara,Vajarahalli,50
Deepanjali Nagara,Vijayanagara,15
Deepanjali Nagara,Yelachenahalli,45
Deepanjali Nagara,Yeshwanthpur,38
Doddakallasandra,Attiguppe,45
Doddakallasandra,Baiyappanahalli,55
Doddakallasandra,Banashankari,18
Doddakallasandra,Chickpete,35
Doddakallasandra,Cubbon Park (Sri Chamarajendra Park),42
Doddakallasandra,Dasarahalli,60
Doddakallasandra,Deepanjali Nagara,50
Doddakallasandra,"Dr BR Ambedkar Station, Vidhana Soudha",40
Doddakallasandra,Goraguntepalya,52
Doddakallasandra,Halasuru,50
Doddakallasandra,Indiranagar,50
Doddakallasandra,Jalahalli,60
Doddakallasandra,Jaya Prakash Nagar,15
Doddakallasandra,Jayanagar,22
Doddakallasandra,Jnanabharathi,58
Doddakallasandra,Kengeri,60
Doddakallasandra,Kengeri Bus Terminal,60
Doddakallasandra,Konankunte Cross,10
Doddakallasandra,City Railway Station,37
Doddakallasandra,Krishna Rajendra Market,30
Doddakallasandra,Lalbagh Botanical Garden,28
Doddakallasandra,Magadi Road,40
Doddakallasandra,Mahakavi Kuvempu Road,42
Doddakallasandra,Mahalakshmi,45
Doddakallasandra,MG Road,45
Doddakallasandra,Mysuru Road,50
Doddakallasandra,Majestic,35
Doddakallasandra,Nagasandra,60
Doddakallasandra,National College,30
Doddakallasandra,Nayandahalli,52
Doddakallasandra,Pattanagere,60
Doddakallasandra,Peenya,55
Doddakallasandra,Peenya Industry,58
Doddakallasandra,Rajaji Nagar,45
Doddakallasandra,Rajarajeshwari Nagara,55
Doddakallasandra,Rashtreeya Vidyalaya Road,20
Doddakallasandra,Sampige Road,38
Doddakallasandra,Sandal Soap Factory,50
Doddakallasandra,Silk Institute,15
Doddakallasandra,Central College,38
Doddakallasandra,South End Circle,25
Doddakallasandra,Hosahalli,42
Doddakallasandra,Srirampura,40
Doddakallasandra,Swami Vivekananda Road,52
Doddakallasandra,Talaghattapura,15
Doddakallasandra,Trinity,45
Doddakallasandra,Vajarahalli,10
Doddakallasandra,Vijayanagara,45
Doddakallasandra,Yelachenahalli,15
Doddakallasandra,Yeshwanthpur,50
"Dr BR Ambedkar Station, Vidhana Soudha",Attiguppe,25
"Dr BR Ambedkar Station, Vidhana Soudha",Baiyappanahalli,25
"Dr BR Ambedkar Station, Vidhana Soudha",Banashankari,30
"Dr BR Ambedkar Station, Vidhana Soudha",Chickpete,15
"Dr BR Ambedkar Station, Vidhana Soudha",Cubbon Park (Sri Chamarajendra Park),10
"Dr BR Ambedkar Station, Vidhana Soudha",Dasarahalli,40
"Dr BR Ambedkar Station, Vidhana Soudha",Deepanjali Nagara,28
"Dr BR Ambedkar Station, Vidhana Soudha",Doddakallasandra,40
"Dr BR Ambedkar Station, Vidhana Soudha",Goraguntepalya,30
"Dr BR Ambedkar Station, Vidhana Soudha",Halasuru,18
"Dr BR Ambedkar Station, Vidhana Soudha",Indiranagar,20
"Dr BR Ambedkar Station, Vidhana Soudha",Jalahalli,38
"Dr BR Ambedkar Station, Vidhana Soudha",Jaya Prakash Nagar,35
"Dr BR Ambedkar Station, Vidhana Soudha",Jayanagar,28
"Dr BR Ambedkar Station, Vidhana Soudha",Jnanabharathi,35
"Dr BR Ambedkar Station, Vidhana Soudha",Kengeri,42
"Dr BR Ambedkar Station, Vidhana Soudha",Kengeri Bus Terminal,40
"Dr BR Ambedkar Station, Vidhana Soudha",Konankunte Cross,38
"Dr BR Ambedkar Station, Vidhana Soudha",City Railway Station,15
"Dr BR Ambedkar Station, Vidhana Soudha",Krishna Rajendra Market,18
"Dr BR Ambedkar Station, Vidhana Soudha",Lalbagh Botanical Garden,22
"Dr BR Ambedkar Station, Vidhana Soudha",Magadi Road,18
"Dr BR Ambedkar Station, Vidhana Soudha",Mahakavi Kuvempu Road,20
"Dr BR Ambedkar Station, Vidhana Soudha",Mahalakshmi,25
"Dr BR Ambedkar Station, Vidhana Soudha",MG Road,15
"Dr BR Ambedkar Station, Vidhana Soudha",Mysuru Road,30
"Dr BR Ambedkar Station, Vidhana Soudha",Majestic,15
"Dr BR Ambedkar Station, Vidhana Soudha",Nagasandra,42
"Dr BR Ambedkar Station, Vidhana Soudha",National College,20
"Dr BR Ambedkar Station, Vidhana Soudha",Nayandahalli,30
"Dr BR Ambedkar Station, Vidhana Soudha",Pattanagere,38
"Dr BR Ambedkar Station, Vidhana Soudha",Peenya,35
"Dr BR Ambedkar Station, Vidhana Soudha",Peenya Industry,35
"Dr BR Ambedkar Station, Vidhana Soudha",Rajaji Nagar,22
"Dr BR Ambedkar Station, Vidhana Soudha",Rajarajeshwari Nagara,35
"Dr BR Ambedkar Station, Vidhana Soudha",Rashtreeya Vidyalaya Road,30
"Dr BR Ambedkar Station, Vidhana Soudha",Sampige Road,15
"Dr BR Ambedkar Station, Vidhana Soudha",Sandal Soap Factory,28
"Dr BR Ambedkar Station, Vidhana Soudha",Silk Institute,45
"Dr BR Ambedkar Station, Vidhana Soudha",Central College,10
"Dr BR Ambedkar Station, Vidhana Soudha",South End Circle,25
"Dr BR Ambedkar Station, Vidhana Soudha",Hosahalli,20
"Dr BR Ambedkar Station, Vidhana Soudha",Srirampura,18
"Dr BR Ambedkar Station, Vidhana Soudha",Swami Vivekananda Road,22
"Dr BR Ambedkar Station, Vidhana Soudha",Talaghattapura,45
"Dr BR Ambedkar Station, Vidhana Soudha",Trinity,15
"Dr BR Ambedkar Station, Vidhana Soudha",Vajarahalli,42
"Dr BR Ambedkar Station, Vidhana Soudha",Vijayanagara,22
"Dr BR Ambedkar Station, Vidhana Soudha",Yelachenahalli,35
"Dr BR Ambedkar Station, Vidhana Soudha",Yeshwanthpur,30
Goraguntepalya,Attiguppe,38
Goraguntepalya,Baiyappanahalli,45
Goraguntepalya,Banashankari,45
Goraguntepalya,Chickpete,30
Goraguntepalya,Cubbon Park (Sri Chamarajendra Park),35
Goraguntepalya,Dasarahalli,18
Goraguntepalya,Deepanjali Nagara,40
Goraguntepalya,Doddakallasandra,52
Goraguntepalya,"Dr BR Ambedkar Station, Vidhana Soudha",30
Goraguntepalya,Halasuru,40
Goraguntepalya,Indiranagar,42
Goraguntepalya,Jalahalli,15
Goraguntepalya,Jaya Prakash Nagar,45
Goraguntepalya,Jayanagar,40
Goraguntepalya,Jnanabharathi,50
Goraguntepalya,Kengeri,55
Goraguntepalya,Kengeri Bus Terminal,52
Goraguntepalya,Konankunte Cross,50
Goraguntepalya,City Railway Station,28
Goraguntepalya,Krishna Rajendra Market,30
Goraguntepalya,Lalbagh Botanical Garden,35
Goraguntepalya,Magadi Road,30
Goraguntepalya,Mahakavi Kuvempu Road,20
Goraguntepalya,Mahalakshmi,15
Goraguntepalya,MG Road,35
Goraguntepalya,Mysuru Road,42
Goraguntepalya,Majestic,28
Goraguntepalya,Nagasandra,20
Goraguntepalya,National College,35
Goraguntepalya,Nayandahalli,45
Goraguntepalya,Pattanagere,50
Goraguntepalya,Peenya,10
Goraguntepalya,Peenya Industry,15
Goraguntepalya,Rajaji Nagar,18
Goraguntepalya,Rajarajeshwari Nagara,45
Goraguntepalya,Rashtreeya Vidyalaya Road,42
Goraguntepalya,Sampige Road,25
Goraguntepalya,Sandal Soap Factory,15
Goraguntepalya,Silk Institute,60
Goraguntepalya,Central College,30
Goraguntepalya,South End Circle,38
Goraguntepalya,Hosahalli,35
Goraguntepalya,Srirampura,22
Goraguntepalya,Swami Vivekananda Road,45
Goraguntepalya,Talaghattapura,58
Goraguntepalya,Trinity,38
Goraguntepalya,Vajarahalli,55
Goraguntepalya,Vijayanagara,35
Goraguntepalya,Yelachenahalli,50
Goraguntepalya,Yeshwanthpur,10
Halasuru,Attiguppe,35
Halasuru,Baiyappanahalli,15
Halasuru,Banashankari,40
Halasuru,Chickpete,25
Halasuru,Cubbon Park (Sri Chamarajendra Park),15
Halasuru,Dasarahalli,50
Halasuru,Deepanjali Nagara,35
Halasuru,Doddakallasandra,50
Halasuru,"Dr BR Ambedkar Station, Vidhana Soudha",18
Halasuru,Goraguntepalya,40
Halasuru,Indiranagar,10
Halasuru,Jalahalli,45
Halasuru,Jaya Prakash Nagar,42
Halasuru,Jayanagar,35
Halasuru,Jnanabharathi,45
Halasuru,Kengeri,50
Halasuru,Kengeri Bus Terminal,50
Halasuru,Konankunte Cross,45
Halasuru,City Railway Station,26
Halasuru,Krishna Rajendra Market,28
Halasuru,Lalbagh Botanical Garden,30
Halasuru,Magadi Road,28
Halasuru,Mahakavi Kuvempu Road,30
Halasuru,Mahalakshmi,35
Halasuru,MG Road,15
Halasuru,Mysuru Road,38
Halasuru,Majestic,22
Halasuru,Nagasandra,50
Halasuru,National College,30
Halasuru,Nayandahalli,40
Halasuru,Pattanagere,45
Halasuru,Peenya,42
Halasuru,Peenya Industry,45
Halasuru,Rajaji Nagar,30
Halasuru,Rajarajeshwari Nagara,42
Halasuru,Rashtreeya Vidyalaya Road,38
Halasuru,Sampige Road,25
Halasuru,Sandal Soap Factory,35
Halasuru,Silk Institute,55
Halasuru,Central College,20
Halasuru,South End Circle,35
Halasuru,Hosahalli,30
Halasuru,Srirampura,28
Halasuru,Swami Vivekananda Road,15
Halasuru,Talaghattapura,52
Halasuru,Trinity,10
Halasuru,Vajarahalli,50
Halasuru,Vijayanagara,30
Halasuru,Yelachenahalli,45
Halasuru,Yeshwanthpur,38
Indiranagar,Attiguppe,35
Indiranagar,Baiyappanahalli,15
Indiranagar,Banashankari,42
Indiranagar,Chickpete,28
Indiranagar,Cubbon Park (Sri Chamarajendra Park),18
Indiranagar,Dasarahalli,50
Indiranagar,Deepanjali Nagara,38
Indiranagar,Doddakallasandra,50
Indiranagar,"Dr BR Ambedkar Station, Vidhana Soudha",20
Indiranagar,Goraguntepalya,42
Indiranagar,Halasuru,10
Indiranagar,Jalahalli,50
Indiranagar,Jaya Prakash Nagar,45
Indiranagar,Jayanagar,38
Indiranagar,Jnanabharathi,45
Indiranagar,Kengeri,52
Indiranagar,Kengeri Bus Terminal,50
Indiranagar,Konankunte Cross,50
Indiranagar,City Railway Station,28
Indiranagar,Krishna Rajendra Market,30
Indiranagar,Lalbagh Botanical Garden,35
Indiranagar,Magadi Road,30
Indiranagar,Mahakavi Kuvempu Road,30
Indiranagar,Mahalakshmi,35
Indiranagar,MG Road,15
Indiranagar,Mysuru Road,40
Indiranagar,Majestic,25
Indiranagar,Nagasandra,52
Indiranagar,Kengeri,52
Indiranagar,Nayandahalli,42
Indiranagar,Pattanagere,50
Indiranagar,Peenya,45
Indiranagar,Peenya Industry,45
Indiranagar,Rajaji Nagar,35
Indiranagar,Rajarajeshwari Nagara,45
Indiranagar,Rashtreeya Vidyalaya Road,40
Indiranagar,Sampige Road,28
Indiranagar,Sandal Soap Factory,38
Indiranagar,Silk Institute,58
Indiranagar,Central College,22
Indiranagar,South End Circle,35
Indiranagar,Hosahalli,30
Indiranagar,Srirampura,30
Indiranagar,Swami Vivekananda Road,10
Indiranagar,Talaghattapura,55
Indiranagar,Trinity,15
Indiranagar,Vajarahalli,52
Indiranagar,Vijayanagara,35
Indiranagar,Yelachenahalli,45
Indiranagar,Yeshwanthpur,40
Jalahalli,Attiguppe,45
Jalahalli,Baiyappanahalli,52
Jalahalli,Banashankari,50
